Title,Description,Category,Type,Creator(s),Related Resource,URL
10+ Guidelines for Better Tables in R,This blog post takes table-making guidelines laid out by data visualization expert Jon Schwabish and shows how they can be achieved using the gt package.,Tables,Learning Resource,Thomas Mock,gt,https://themockup.blog/posts/2020-09-04-10-table-rules-in-r/
A Scientist's Guide to R: Step 2.3 - string manipulation and regex,Covers some of the core functions of the stringr package and has a section on regular expressions for pattern matching.,"Strings,Regular Expressions",Learning Resource,Craig Hutton,stringr,https://craig.rbind.io/post/2020-06-28-asgr-2-3-string-manipulation/
A Twitter bot with {rtweet} and GitHub Actions,"This blog post walks through the process of creating a Twitter bot that posts satellite images of London using the rtweet package and GitHub Actions.

",Automation,Learning Resource,Matt Dray,rtweet,https://www.rostrum.blog/2020/09/21/londonmapbot/
broom,"The broom packages enables you to take output from statistical models and convert it into tidy tibbles. Practically speaking, this means you can easily access elements of the output (e.g. pull out p-values to include in text in an RMarkdown document).
",Inferential Statistics,Package,"David Robinson,Alex Hayes,Simon Couch",tidyr,https://broom.tidymodels.org/index.html
cowplot,"The cowplot package provides various features that help with creating publication-quality figures, such as a set of themes, functions to align plots and arrange them into complex compound figures, and functions that make it easy to annotate plots and or mix plots with images.",Data Visualization,Package,Claus Wilke,"ggplot2,patchwork",https://wilkelab.org/cowplot/index.html
Data Cleaning Flipbook,"This flipbook walks through several examples of messy data and shows how to clean them with R.
","Data Cleaning,Tidy Data",Learning Resource,Gina Reynolds,,https://evamaerey.github.io/little_flipbooks_library/data_cleaning/data_cleaning#1
Data Visualization: A Practical Introduction,"This book demonstrates how to create high-quality data visualization in R. Complete with code samples, it's a great resource to improve your visualizations.
",Data Visualization,Learning Resource,Kieran Healy,ggplot2,https://socviz.co/
Data wrangling for spatial analysis: R Workshop,"Materials from a 2020 workshop on spatial analysis in R.
","Data Wrangling,Mapping/Geospatial",Presentation/Workshop/Course Materials,"Chris Brown,David Schoeman","sf,raster,tidyverse,readr,dplyr,ggplot2",https://www.seascapemodels.org/data/data-wrangling-spatial-course.html
Deep dive intro dplyr,"This tutorial is for anyone interested in learning the basics of the dplyr package. We'll be focusing on data exploration and manipulation, building off of the examples in the dplyr package documentation using the Palmer Penguins dataset.",Data Wrangling,Learning Resource,Jesse Mostipak,dplyr,https://www.kaggle.com/jessemostipak/dive-into-dplyr-tutorial
dplyr,"dplyr is a grammar of data manipulation, providing a consistent set of verbs that help you solve the most common data manipulation challenges. It is one of the core tidyverse packges.",Data Wrangling,Package,"Hadley Wickham,Romain François,Lionel Henry,Kirill Müller",tidyverse,https://dplyr.tidyverse.org/
Drawing Anything with ggplot2,This two-part workshop is a deep dive on what you can do with ggplot2.,Data Visualization,Presentation/Workshop/Course Materials,Thomas Lin Pedersen,ggplot2,https://github.com/thomasp85/ggplot2_workshop
forcats,"R uses factors to handle categorical variables, variables that have a fixed and known set of possible values. Factors are also helpful for reordering character vectors to improve display. The goal of the forcats package is to provide a suite of tools that solve common problems with factors, including changing the order of levels or the values. Some examples include:",Factors,Package,Hadley Wickham,tidyverse,https://forcats.tidyverse.org/
Functions and Themes for gt tables,This blog post shows how to make nice tables using the gt package.,Tables,Learning Resource,Thomas Mock,gt,https://themockup.blog/posts/2020-09-26-functions-and-themes-for-gt-tables/
Geocomputation with R,"Geocomputation with R is ""a book on geographic data analysis, visualization and modeling."" An in-depth yet approachable book, it is a great place to start (and a great reference) for those looking to learn about making maps in R.",Mapping/Geospatial,Learning Resource,"Robin Lovelace,Jakub Nowosad,Jannes Muenchow","sf,tmap,ggspatial,leaflet,mapdeck,plotly,geogrid,geofacet,tilemaps",
geofacet,geofacet enables you to make small multiple plots laid out in grids that are designed to represent the shapes of geographic areas (e.g. states in the United States).,"Mapping/Geospatial,Data Visualization",Learning Resource,Ryan Hafen,ggplot2,https://hafen.github.io/geofacet/
geogrid,"The geogrid packages enables you to ""turn geospatial polygons like states, counties or local authorities into regular or hexagonal grids automatically.""
","Mapping/Geospatial,Data Visualization",Package,Joseph Bailey,"tilemaps,geofacet",https://github.com/jbaileyh/geogrid
ggittext,This package helps you fit text added to plots within boxes.,Data Visualization,Package,David Wilkins,"ggittext,ggtext",https://wilkox.org/ggfittext/
ggspatial,"ggspatial provides additional functionality to maps created with ggplot2. For example, it has a function to add a scalebar to help users measure distances in maps.","Mapping/Geospatial,Data Visualization",Package,Dewey Dunnington,ggplot2,https://paleolimbot.github.io/ggspatial/index.html
ggtext,"The ggtext package allows you to style text elements of plots. You can use it to add multiple colors to titles, subtitles, captions, etc.
",Data Visualization,Package,Claus Wilke,,https://wilkelab.org/ggtext/
gt,The gt package aims to create a grammar of tables (similar to the grammar of graphics that underlies ggplot2) and use this to help users create attractive tables that communicate effectively.,Tables,Package, Richard Iannone,"Functions and Themes for gt tables,10+ Guidelines for Better Tables in R",https://gt.rstudio.com/
gt Workshop 2020!,Materials from a 2020 workshop about the gt R package.,Tables,Presentation/Workshop/Course Materials, Richard Iannone,gt,https://github.com/rich-iannone/gt-workshop-2020
haven,"haven enables R to read and write various data formats used by other statistical packages, including SPSS, SAS, Stata, and more.",Data Import,Package,"Hadley Wickham,Evan Miller",,https://haven.tidyverse.org/
"Interactive web-based data visualization with R, plotly, and shiny",This book provides an overview of the plotly package and has chapters that lay out how to make a wide range of graphs using it.,"Interactive,Mapping/Geospatial,Data Visualization",Learning Resource,Carson Sievert,plotly,https://plotly-r.com/
jsonlite,jsonlite is a package designed to make it easier to work with JSON (JavaScript Object Notation) data. This type of data is common when working with APIs (application programming interfaces).,"Data Import,Data Wrangling",Package,Jeroen Ooms,rvest,https://cran.r-project.org/web/packages/jsonlite/vignettes/json-aaquickstart.html
leaflet,The leaflet package provides an interface to the popular javascript library of the same name that enables you to make interactive maps.,"Mapping/Geospatial,Data Visualization,Interactive",Package,RStudio,mapdeck,https://rstudio.github.io/leaflet/
lubridate,lubridate is a tidyverse-friendly package to simplify the process of working with dates and times.,Dates and Times,Package,"Vitalie Spinu,Hadley Wickham,Garrett Grolmund","""R for Data Science, Chapter 16: Dates and Times""",https://lubridate.tidyverse.org/
mapdeck,mapdeck is a package for making interactive maps. ,"Mapping/Geospatial,Interactive,Data Visualization",Package,David Cooley,leaflet,https://symbolixau.github.io/mapdeck/
Mapping ggplot geoms and aesthetic properties,"In ggplot, each geom uses certain aesthetic properties. This blog post is a cheatsheet to help you remember which geoms work with which aesthetic properties.",Data Visualization,Reference,,ggplot2,https://www.yihanwu.ca/post/geoms-and-aesthetic-parameters/
patchwork,The patchwork package enables you to combine multiple plots into a single graphic.,Data Visualization,Package,Thomas Lin Pedersen,"ggplot2,cowplot",https://patchwork.data-imaginist.com/
plotly,The plotly package enables you to make interactive visualizations. You can either generate figures in ggplot and then add interactivity or use other functions from the package to make interactive figures directly.,"Data Visualization,Mapping/Geospatial,Interactive",Package,Carson Sievert,"""Interactive web-based data visualization with R, plotly, and shiny""",
purrr,"The purrr package is focused on iteration. You can use it to do things like read in multiple sheets from an Excel spreadsheet into a single data frame, knit an RMarkdown to multiple reports, etc.
",Data Wrangling,Package,"Lionel Henry,Hadley Wickham,RStudio",,https://purrr.tidyverse.org/
R for Data Science,"Considered the ""bible"" of the tidyverse approach, this book has chapters on all of the fundamental skills you need to work with R.
",,Learning Resource,"Hadley Wickham,Garrett Grolmund",,https://r4ds.had.co.nz/
"R for Data Science, Chapter 11: Data Import","This chapter of R for Data Science teaches you how to import CSV and other rectangular data into R.
",Data Import,Learning Resource,"Hadley Wickham,Garrett Grolmund",R for Data Science,https://r4ds.had.co.nz/data-import.html
"R for Data Science, Chapter 16: Dates and Times",This chapter of R for Data Science shows how to work with dates and times in R using the lubridate package.,Dates and Times,Learning Resource,"Hadley Wickham,Garrett Grolmund",lubridate,https://r4ds.had.co.nz/dates-and-times.html
R Graph Gallery,"This website is a collection of visualization types, complete with R code that shows how to make them.",Data Visualization,Code Sample,Yan Holtz,ggplot2,https://www.r-graph-gallery.com/index.html
R Graphics Cookbook,"This book has recipes that show how to do a variety of tasks in ggplot.
",Data Visualization,Learning Resource,Winston Chang,ggplot2,https://r-graphics.org/
readr,"readr is a package designed ""to provide a fast and friendly way to read rectangular data (like csv, tsv, and fwf).""",Data Import,Package,"Hadley Wickham,Jim Hester","""R for Data Science, Chapter 11: Data Import""",https://readr.tidyverse.org/
readxl,The readxl package simplifies the process of importing Excel files into R.,Data Import,Package,"Hadley Wickham,Jenny Bryan",,https://readxl.tidyverse.org/
RStudio Cloud Primers: Visualize Data,"These primers explain the basics of visualizing data in R.
",Data Visualization,Learning Resource,RStudio,ggplot2,https://rstudio.cloud/learn/primers/3
rtweet,"rtweet lets you access data from Twitter in order to analyze it in R.
",Misc,Package,Mike Kearney,,https://docs.ropensci.org/rtweet/index.html
rvest,rvest helps you scrape information from web pages.,"Data Import,Web Scraping",Package,Hadley Wickham,,https://rvest.tidyverse.org/
sf,The sf package provides tools for working with simple features geospatial data.,Mapping/Geospatial,Package,Edzer Pebesma,Geocomputation with R,https://r-spatial.github.io/sf/
snapbox,Add static basemaps from mapbox to maps made with ggplot2.,Mapping/Geospatial,Package,"Miles McBain,Anthony North",ggplot2,https://github.com/anthonynorth/snapbox
Spreadsheet workflows in R,"This blog post shows some equivalents between workflows in R and Excel.
","Data Import,Data Wrangling",Learning Resource,Devin Johnson,,https://education.rstudio.com/blog/2020/08/spreadsheets-using-r/
stringr,"""The stringr package provide a cohesive set of functions designed to make working with strings as easy as possible.""",Strings,Package,Hadley Wickham,stringr.plus,https://stringr.tidyverse.org/
stringr.plus,"This package provides a few additional functions to supplement those in the string package. They include str_extract_before(), str_extract_after(), and others.
","Data Wrangling,Strings",Package,John Cassil,stringr,https://github.com/johncassil/stringr.plus
Take A Sad Plot & Make It Better: A Case Study with R and ggplot2,This presentation provides a case study of how to improve the quality of a plot.,Data Visualization,Presentation/Workshop/Course Materials,Alison Hill,ggplot2,https://apreshill.github.io/ohsu-biodatavis/slides.html#1
The ggplot flipbook,This flipbook walks through plots created in ggplot step by step so you can learn how to make your own plots.,Data Visualization,Learning Resource,Gina Reynolds,ggplot2,https://evamaerey.github.io/ggplot_flipbook/ggplot_flipbook_xaringan.html#1
The Glamour of Graphics,"This presentation at 2020 rstudio::conf shows how you can use ggplot to make high-quality visualizations.
",Data Visualization,Conference Talk,Will Chase,ggplot2,https://rstudio.com/resources/rstudioconf-2020/the-glamour-of-graphics/
tidy data,This Twitter thread explains the concept of tidy data with clear descriptions and illustrations.,Tidy Data,Explainer,"Julia Stewart Lowndes,Allison Horst",,https://twitter.com/juliesquid/status/1315710359404113920
Tidy Data Vignette,This article lays out the principles of tidy data and shows how you can use the tidyr package to get your data into this format.,"Data Wrangling,Tidy Data",Learning Resource,"Hadley Wickham,Lionel Henry,RStudio",,
tidycensus,"The tidycensus package enables you to get data directly from the United States Census Bureau into R.
",Data Import,Package,Kyle Walker,tigris,https://walker-data.com/tidycensus/
tidyr,"The tidyr package is designed to help you get data into tidy format. With functions to go from wide data to long data, deal with missing values, and more, it provides a toolkit to ensure your data follows tidy principles.
","Data Wrangling,Tidy Data",Package,"Hadley Wickham,RStudio",,https://tidyr.tidyverse.org/index.html
tidyverse,"The tidyverse is a collection of packages, all designed to work together. It is also an approach to coding that tends to be friendly to newcomers (but is powerful and used by experienced folks as well!).
",,Package,,What is a tidyverse-centric approach?,https://www.tidyverse.org/
tigris,"""tigris is an R package that allows users to directly download and use TIGER/Line shapefiles from the US Census Bureau.""","Mapping/Geospatial,Data Import",Package,Kyle Walker,tidycensus,https://github.com/walkerke/tigris
tilemaps,This package is designed to take a map and turn it into equally-spaced tile maps.,Mapping/Geospatial,Package,Kaelyn Rosenberg,geogrid,https://kaerosen.github.io/tilemaps/
tmap,"tmap is package designed to help you quickly make static and interactive maps.
",Mapping/Geospatial,Package,Martijn Tennekes,Geocomputation with R,https://cran.r-project.org/web/packages/tmap/vignettes/tmap-getstarted.html
usethis,usethis is very meta: it's an R package design to help you make your own R package.,Package Development,Package,"Hadley Wickham,Jenny Bryan",,https://usethis.r-lib.org/
What is a tidyverse-centric approach?,"This blog post lays out what a tidyverse-centric approach to R is, and why you might consider using it in your own code.",,Learning Resource,David Keyes,tidyverse,https://rfortherestofus.com/2019/06/what-is-a-tidyverse-centric-approach/
What is Takes to Tidy Census Data,"This walkthrough provides an example of cleaning Census data to demonstrate principles of tidy data.
","Tidy Data,Data Cleaning",Learning Resource,Isabella Velásquez,tidycensus,https://ivelasq.rbind.io/blog/tidying-census-data/
